Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,1,,,1,,,"San Salvador, San Salvador",20,,,,"Sindicato de Trabajadores del Instituto Salvadoreño del Seguro Social (STISSS), Asociación de Empleados Judiciales, de las Brigadas Revolucionarias Estudiantiles (BRES), Empleados de la Alcaldía de Soyapango, Sindicato de Médicos y Trabajadores del ISSS (SIMETRISSS)"
10,,,,,,,,,,,,,,
11,,,1,,,1,,,,90~,,,,Empleados de New Tex
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,1,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,1,,,,1,,"Comalapa, La Paz",,,,,
20,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,1,,,1,,,,60,1,,,Unidad de Mantenimiento del Orden (UMO)
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,1,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,1,1,,,,,"San Salvador, San Salvador",,,,,Asociación de Vendedores y Comerciantes Siticons
29,,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,1,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,1,1,,,,,"San Salvador, San Salvador",,,,,"Sindicato de Trabajadores del Instituto Salvadoreño del Seguro Social (STISSS), Sindicato de Médicos y Trabajadores del ISSS (SIMETRISSS), Frente Unido Roque Dalton (FURD)"
35,,,,,,,,,,,,,,
36,,1,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,1,,1,,,,"Ahuachapán, Ahuachapán",50,,,,"Sindicato de Trabajadores Municipales (SITRAM), Asociación de Trabajadores Municipales (ATRAM)"
39,,,,,,,,,,,,,,
40,,1,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,1,1,,,,,"San Salvador, San Salvador",100+,,,,
43,,,,,,,,,,,,,,
44,,1,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,1,,,1,,,"San Salvador, San Salvador",150~,1,,,Trabajadores de la Salud
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,1,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,1,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,1,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,1,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,1,1,,,,,"San Salvador, San Salvador",,,,,"Trabajadores de la Salud, Asociación Médica Nacional (AMENA)"
64,,,,,,,,,,,,,,
65,,1,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,1,,,,1,,"San Salvador, San Salvador",,,,,Sindicato de Trabajadores de Telecomunicaciones de El Salvador (SITTEL)
68,,,,,,,,,,,,,,
69,,1,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,1,1,,,,,"San Salvador, San Salvador",1000+,,,,
72,,,,,,,,,,,,,,
73,,1,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,1,1,,,,,"San Salvador, San Salvador",100+,,,,Asociación de Académicos de la Universidad de El Salvador (ASAUES)
76,,,,,,,,,,,,,,
77,,1,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,1,1,,,,,"San Salvador, San Salvador",12+,,,,Asociación Departamental de Comunidades Afectadas por el Anillo Periférico
83,,,,,,,,,,,,,,
84,1,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,1,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,1,1,,,,,"San Salvador, San Salvador",,,,,Frente Farabundo Martí para la Liberación Nacional (FMLN)
89,,,,,,,,,,,,,,
90,,1,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,1,1,,,,,"San Salvador, San Salvador",100+,,,,Trabajadores de la Salud
93,,,,,,,,,,,,,,
94,,1,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,1,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,1,1,,,,,,,,,,Sindicato de Médicos y Trabajadores del ISSS (SIMETRISSS)
