Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,1,1,,,,,"Asunci—n, Gran Asunci—n",,,,,Vendedores Informales
10,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,1,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,1,1,,,,,"Asunci—n, Gran Asunci—n",,,,,Organizaciones Sociales
24,,,,,,,,,,,,,,
25,,1,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,1,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,1,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,1,,,,1,,,,1,,,Confederaci—n Nacional de Organizaciones Populares - Movimieto Sin Techo (CONOP-MST)
37,,,,,,,,,,,,,,
38,,1,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,1,,1,,,,,,,,,"Central Sindical de Trabajadores del Estado (CESITEP), Sindicato de Trabajadores del Ministerio de Salud (SITRAMIS)"
41,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,1,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,1,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,1,,1,,,,"Asunci—n, Gran Asunci—n",,,,,Maestros
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,1,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,1,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,1,1,,,,,"Encarnaci—n, Itapœa",,,,,"Coordinadora Nacional de Mujeres Trabajadoras Rurales e Ind’genas (CONAMURI), Foro Social Regional de Itapœa"
64,,,,,,,,,,,,,,
65,,1,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,1,,1,,,,"Asunci—n, Gran Asunci—n",,,,,Organizaci—n de Trabajadores de la Educaci—n de Paraguay (OTEP)
68,,,,,,,,,,,,,,
69,,1,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,0,0,,,,,"Puerto Casado, Alto",,,,,
72,,,,,,,,,,,,,,
73,,1,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,1,1,,,,,"Asunci—n, Gran Asunci—n",7000~,,,,Federaci—n Nacional Campesina (FNC)
76,,,,,,,,,,,,,,
77,,1,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,1,,1,,,,,,,,,Uni—n de Camioneros del Paraguay
80,,,,,,,,,,,,,,
81,1,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,1,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,1,1,,,,,"Asunci—n, Gran Asunci—n",,,,,Ind’genas de la Comunidad Enxet
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,1,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,1,,1,,,,"Asunci—n, Gran Asunci—n",,,,,
94,,,,,,,,,,,,,,
95,,1,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,1,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
