Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
197,,,1,,,,1,,"Famatina, La Rioja/Alto Carrizal, La Rioja",,,,,Asambleas Ciudadanas
198,,,,,,,,,,,,,,
199,,1,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,1,,,,1,,"Buenos Aires, Buenos Aires",50,,,,Vendedores Callejeros
202,,,,,,,,,,,,,,
203,,,1,1,,,,,"San Miguel de Tucum‡n, Tucum‡n","1,000",,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,Provincia de R’o Negro,,,,,Uni—n Argentina de Trabajadores Rurales y Estibadores (UATRE)
206,,,,,,,,,,,,,,
207,,1,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,"Berisso, Buenos Aires",50,1,1,1,
210,,,,,,,,,,,,,,
211,,,,,,,,,"Buenos Aires, Buenos Aires",,,1,1,Grupos de Barrabravas
212,,,,,,,,,,,,,,
213,,,1,,,,1,,"Buenos Aires, Buenos Aires",,,,,Vendedores Callejeros
214,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,
218,,1,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,,,1,1,,,,,"Famatina, La Rioja","3,000",,,,
221,,,,,,,,,,,,,,
222,,,1,1,,,,,"San Carlos de Bariloche, R’o Negro","500,000",,,,
223,,,,,,,,,,,,,,
224,,,1,,1,,,,"Trelew, Chubut",,1,1,,Camuzzi Gas del Sur/Correos del Sur/Sindicato de Choferes de Camiones (SICHOCA)/Confederaci—n General de Trabajo (CGT)
225,,,,,,,,,,,,,,
226,,,1,1,,,,,"Concordia, Entre R’os",,,,,"Campa–a Nacional por el Derecho al Aborto Legal, Seguro, y Gratuito"
227,,,,,,,,,,,,,,
228,,,1,1,,,,,"R’o Gallegos, Santa Cruz",,,,,Asociaci—n Madres de Plaza de Mayo/La Campora Kirchner/Kolina
229,,,,,,,,,,,,,,
230,,1,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,1,1,,,,,"Buenos Aires, Buenos Aires",,,,,Movimiento Socialista de los Trabajadores (MST)/Proyecto Sur
233,,,,,,,,,,,,,,
234,,,1,1,,,,,"Buenos Aires, Buenos Aires/C—rdoba, C—rdoba/Rosario, Santa Fe/San Juan, San Juan/Chilecito, La Rioja",,,,,Partidos Pol’ticos
235,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,
241,,,1,1,,,,,"Hurlingham, Buenos Aires/Villa Tesei, Buenos Aires/La Plata, Buenos Aires",,,,,
242,,,,,,,,,,,,,,
243,,1,,,,,,,,,,,,
244,,,,,,,,,,,,,,
245,,,1,1,,,,,"Famatina, La Rioja",500,,,,Militantes Ambientalistas
246,,,,,,,,,,,,,,
247,,,1,1,,,,,"Buenos Aires, Buenos Aires",200,,,,
248,,,,,,,,,,,,,,
249,,1,,,,,,,,,,,,
250,,,,,,,,,,,,,,
251,,,1,,,,1,,"Buenos Aires, Buenos Aires",,,,,
252,,,,,,,,,,,,,,
