Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,1,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,1,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,1,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,1,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,1,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,1,1,,,,,"Managua, Managua",100+,,,,Productores de Café
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,1,,1,,,,"Managua, Managua",,,,,Oposicion Nicaraguense
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,1,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,1,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,1,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,1,,,,1,,"Managua, Managua",,,,,Estudiantes de la Universidad Nacional Agraria (UNA)
203,,,,,,,,,,,,,,
204,,1,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,1,1,,,,,"Managua, Managua",,,,,Estudiantes de la Universidad Nacional Agraria (UNA)
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,1,,,1,,,"Managua, Managua",12+,,,,Unidad Nacional de Adulto Mayor (UNAM)
211,,,,,,,,,,,,,,
212,,,1,1,,,,,,,,,,Colectivo de Mujeres
213,,,,,,,,,,,,,,
214,,1,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,,1,1,,,,,,,,,,Unidad Nacional del Adulto Mayor (UNAM)
217,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,
221,,1,,,,,,,,,,,,
222,,,,,,,,,,,,,,
223,,,1,,,,,1,,,,,,Unidad Nacional del Adulto Mayor (UNAM)
224,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,
227,,1,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,,,1,1,,,,,"Managua, Managua",,,,,Empleados de Programa Mundial de Alimentos (PMA)
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,1,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,1,1,,,,,,,,,,Alianza Patriotica (AP)
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,1,,,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,
244,,1,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,1,1,,,,,"Managua, Managua",,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,
250,,1,,,,,,,,,,,,
251,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,1,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,1,1,,,,,"Managua, Managua",,,,,Unidad Nacional de Adulto Mayor (UNAM)
