Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,1,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",50000~,,,,"Coordinadora Nacional Sindical y Popular (CNSP), Unión Sindical de Trabajadores de Guatemala (UNSITRAGUA)"
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,1,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,1,,,,1,,"Ciudad de Guatemala, Guatemala",1000+,,,,"Gran Frente Nacional Maya Campesino, Coordinadora Nacional Indígena y Campesina (CONIC), Coordinadora Nacional de Organizaciones Campesinas (CNOC), Comité de Unidad Campesina (CUC), Plataforma Agraria (PA)"
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,1,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,1,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,1,,,,1,,"Ciudad de Guatemala, Guatemala",100~,,,,Choferes
31,,,,,,,,,,,,,,
32,,1,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",,,,,"Asociación de Familiares de Detenidos Desaparecidos de Guatemala (FAMDEGUA), Grupo de Apoyo Mutuo (GAM)"
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,1,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",400~,,,,Coordinadora General de Trabajadores Guatemaltecos (CGTG)
41,,,,,,,,,,,,,,
42,,1,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",100+,,,,Centro de Acción Legal de Derechos Humanos (CALDH)
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,1,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,1,1,,,,,,,,,,Patrullas de Autodefensa Civil (PAC)
56,,,,,,,,,,,,,,
57,,1,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,1,,,,1,,,,,,,Patrullas de Autodefensa Civil (PAC)
60,,,,,,,,,,,,,,
61,,1,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,1,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,1,1,,,,,"Huehuetenango, Huehuetenango",170~,,,,Primer Encuentro Nacional de Mujeres
70,,,,,,,,,,,,,,
71,,1,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,1,1,,,,,,2000~,,,,Agentes de la Academia Policial de la Policía Nacional Civil (PNC)
77,,,,,,,,,,,,,,
78,,1,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,1,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,1,1,,,,,"Huehuetenango, Huehuetenango",3000~,,,,Estudiantes
85,,,,,,,,,,,,,,
86,,1,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,1,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,1,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",5000~,,,,Patrullas de Autodefensa Civil (PAC)
95,,,,,,,,,,,,,,
96,,1,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,1,1,,,,,"Ciudad de Guatemala, Guatemala",1000~,,,,
99,,,,,,,,,,,,,,
100,,1,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,1,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,1,,,1,,,"Champerico, Retalhuleu",500+,1,1,,
