Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,1,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,1,,1,,,,,,,,,Intergremial de Transporte Profesional de Carga del Uruguay (ITPC)
140,,,,,,,,,,,,,,
141,,1,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,1,1,,,,,"Montevideo, Montevideo",1000+,,,,
144,,,,,,,,,,,,,,
145,,1,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,1,,1,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,1,,1,,,,,,,,,Asociación de Funcionarios del Registro Civil (AFURECI)
150,,,,,,,,,,,,,,
151,,1,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,1,1,,,,,,,,,,Asociación de Docentes de Enseñanza Secundaria (ADES)
154,,,,,,,,,,,,,,
155,,,1,,1,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,1,,,,1,,,,,,,"Unión de Trabajadores Desocupados (UTD), Coordinadora de Ollas y Merenderos"
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,1,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,1,1,,,,,"Montevideo, Montevideo",,,,,Administración Nacional de Usinas y Trasmisores Eléctricos (UTE)
167,,,,,,,,,,,,,,
168,,1,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,1,1,,,,,"Piriápolis, Maldonado",100+,,,,Comisión en Defensa del Puerto de Piriápolis
171,,,,,,,,,,,,,,
172,,1,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,1,,1,,,,,400~,,,,Becarios del Ministerio de Educación y Cultura
175,,,,,,,,,,,,,,
176,,1,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,1,1,,,,,"Montevideo, Montevideo",,,,,Trabajadores de Salud Privada
179,,,,,,,,,,,,,,
180,1,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,1,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,1,,,1,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,1,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,1,,1,,,,,,,,,Sindicato Médico de Uruguay (SMU)
194,,,,,,,,,,,,,,
195,,1,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,1,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,1,,1,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,1,,1,,,,,,,,,Confederación de Funcionarios del Estado (COFE)
