Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,1,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,1,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,1,1,,,,,,,1,,,"Central Unitaria de Trabajadores (CUT), Confederación General del Trabajo (CGT), Confederación de Trabajadores de Colombia (CTC)"
173,,,,,,,,,,,,,,
174,,,1,1,,,,,"San Carlos, Córdoba",,,,,
175,,,,,,,,,,,,,,
176,,,1,,,,1,,"Ibagué, Tolima",,,,,Asociación de Volqueteros
177,,,,,,,,,,,,,,
178,,1,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,1,,,,1,,"Barranquilla, Atlántico",70~,,,,Estudiantes del Facultad de Arte Dramático de la Escuela de Bellas Artes
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,1,1,,,,,"Boyaja, Chocó",,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,1,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,1,,1,,,,,,,,,Caja de Previsión Social de Comunicaciones (CAPRECOM)
192,,,,,,,,,,,,,,
193,,1,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,1,1,,,,,"Santiago de Cali, Valle de Cauca",100~,,,,Sociedad de Jubilados de los Ferrocarriles de Colombia
196,,,,,,,,,,,,,,
197,,,1,,1,,,,"Manizales, Caldas",,,,,Caja de Previsión de Comunicaciones (CAPRECOM)
198,,,,,,,,,,,,,,
199,,,1,1,,,,,"Samaniego, Nariño",1000+,1,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,1,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,1,1,,,,,"Barranquilla, Atlántico",500~,,,,Empleados del Hotel el Prado
207,,,,,,,,,,,,,,
208,,,1,1,,,,,"Cartagena, Bolívar",100~,,,,
209,,,,,,,,,,,,,,
210,,1,,,,,,,,,,,,
211,,,,,,,,,,,,,,
212,,,1,,1,,,,"Bogotá, Distrito Capital",25,,,,Sindicato de Trabajadoras de Centros de Infancia y Hogares de Bienestar Familiar (SINTRACIHOBI)
213,,,,,,,,,,,,,,
214,,,1,1,,,,,"Ibagué, Tolima",,1,,,Estudiantes del Instituto Técnico
215,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,
217,,,1,,1,,,,"Manaure, La Guajira",,,,,Sociedad Salinas Marítimas de Manaure (SAMA)
218,,,,,,,,,,,,,,
219,,,1,1,,,,,"San Juan de Pasto, Nariño",,,,,Estudiantes del Universidad de Nariño
220,,,,,,,,,,,,,,
221,,,1,1,,,,,"Medellín, Antioquia",,,,,Comunidad Canábica Colombiana
222,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,1,,,,,,,,,,,,
226,,,,,,,,,,,,,,
227,,,1,,1,,,,"Maicao, La Guajira",,,,,Sindicato de Trabajadoras de Centros de Infancia y Hogares de Bienestar Familiar (SINTRACIHOBI)
228,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,
231,,,1,,,,1,,"Santa Cruz de Mompox, Bolívar",300+,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,,,1,1,,,,,"Neiva, Huila",,,,,Estudiantes del Institución Educativa
237,,,,,,,,,,,,,,
238,,1,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,1,1,,,,,"Pueblo Nuevo, Córdoba",50~,,,,Trabajadores despedidos de Fundación Empresar
241,,,,,,,,,,,,,,
242,,,1,,,1,,,"Bogotá, Distrito Capital",,,,,Víctimas de ataques con ácido
243,,,,,,,,,,,,,,
244,,1,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,1,,1,,,,"Popayán, Cauca",,,,,Sindicato de Trabajadoras de Centros de Infancia y Hogares de Bienestar Familiar (SINTRACIHOBI)
247,,,,,,,,,,,,,,
248,,,1,1,,,,,,,,,,Unidos por la Vida Colombia
249,,,,,,,,,,,,,,
250,,,1,1,,,,,"Cali, Valle de Cauca",2000+,,,,
251,,,,,,,,,,,,,,
252,,,1,1,,,,,"Puerto Escondido, Córdoba",600~,,,,Estudiantes del Colegio Cristo Rey
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
