Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,1,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,1,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,1,,,,,1,"Sucre, Chuquisaca",,,,,Confederacion de Choferes de Bolivia (CCHB)
158,,,,,,,,,,,,,,
159,,,1,,1,,,,"Santa Cruz de la Sierra, Santa Cruz",,,,,Federacion Universitaria de Profesores (FUP)
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,1,,,,1,,"Santa Cruz de la Sierra, Santa Cruz",,,,,
164,,,,,,,,,,,,,,
165,,,1,,,,,1,"Nuestra Se_ora de La Paz, La Paz",,,,,Trabajadores despedidos de Yacimientos Petroliferos Fiscales Bolivianos (YPFB)
166,,,,,,,,,,,,,,
167,,,1,,,,1,,"Teoponte, La Paz",,,,,
168,,,,,,,,,,,,,,
169,,1,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,1,1,,,,,"Nuestra Se_ora de La Paz, La Paz",130+,,,,Servicio Departamental de Salud (SEDES)
172,,,,,,,,,,,,,,
173,,,1,1,,,,,"Nuestra Se_ora de La Paz, La Paz",400~,,,,Aspirantes de las Escuelas de Maestros
174,,,,,,,,,,,,,,
175,,,1,1,,,,,"Santa Cruz de la Sierra, Santa Cruz",,,,,Federacion de Estudiantes Normalistas (FEN)
176,,,,,,,,,,,,,,
177,,,,,,,,,"Tarata, Cochabamba",,1,,,
178,,,,,,,,,,,,,,
179,,1,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,1,,1,,,,"Nuestra Se_ora de La Paz, La Paz",,1,1,1,Confederacion de Choferes de Bolivia (CCHB)
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,1,1,,,,,"Santa Cruz de la Sierra, Santa Cruz",,,,,Federacion de Estudiantes Normalistas (FEN)
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,1,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,1,,1,,,,"Nuestra Se_ora de La Paz, La Paz",,1,1,1,Confederacion de Choferes de Bolivia (CCHB)
192,,,,,,,,,,,,,,
193,,,1,,,1,,,"Santa Cruz de la Sierra, Santa Cruz",,,,,Aspirantes de las Escuelas de Maestros
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,1,,,,1,,"Nuestra Se_ora de La Paz, La Paz",,,,,
198,,,,,,,,,,,,,,
199,,1,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,1,1,,,,,"Nuestra Se_ora de La Paz, La Paz",,1,1,,Aspirantes de las Escuelas de Maestros
202,,,,,,,,,,,,,,
203,,1,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,1,,,,1,,"Teoponte, La Paz",,,,,
206,,,,,,,,,,,,,,
207,,1,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,
213,,,1,1,,,,,"Warnes, Santa Cruz",,,,,
214,,,,,,,,,,,,,,
215,,,1,,,,1,,"Cochabamba, Cochabamba",80,,,,Organizacion Territorial de Base (OTB)
216,,,,,,,,,,,,,,
217,,1,,,,,,,,,,,,
218,,,,,,,,,,,,,,
219,,,1,,1,,,,Departamento de Pando,,,,,Servicio Departamental de Salud (SEDES)
220,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,
223,,1,,,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,,1,,,,1,,"Tapacari, Cochabamba",500~,,,,
226,,,,,,,,,,,,,,
227,,1,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,,,1,,,,,1,"Quillacollo, Cochabamba",,,,,
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,1,,,,,1,Departamento de Oruro,,,,,
234,,,,,,,,,,,,,,
235,,,1,,,1,,,"Nuestra Se_ora de La Paz, La Paz",,,,,Trabajadores despedidos de Yacimientos Petroliferos Fiscales Bolivianos (YPFB)
236,,,,,,,,,,,,,,
237,,1,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,1,1,,,,,"Nuestra Se_ora de La Paz, La Paz",,,,,Confederacion de Trabajadores de Educacion Urbana de Bolivia (CTEUB)
240,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,1,,,,,1,"Nuestra Se_ora de La Paz, La Paz",,,,,Trabajadores despedidos de Yacimientos Petroliferos Fiscales Bolivianos (YPFB)
244,,,,,,,,,,,,,,
245,,,1,,1,,,,"Sacaba, Cochabamba",130+,1,1,1,
246,,,,,,,,,,,,,,
247,,1,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,1,1,,,,,"Cochabamba, Cochabamba",,,,,Servicio Departamental de Salud (SEDES)
250,,,,,,,,,,,,,,
251,,1,,,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,1,,,,1,,"Tapacari, Cochabamba",,,,,
254,,,,,,,,,,,,,,
255,,1,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,,,1,,,,,1,"Nuestra Se_ora de La Paz, La Paz",17,,,,Aspirantes de las Escuelas de Maestros
258,,,,,,,,,,,,,,
259,,1,,,,,,,,,,,,
260,,,,,,,,,,,,,,
261,,,,,,,,,"Nuestra Se_ora de La Paz, La Paz",,,,,
262,,,,,,,,,,,,,,
263,,1,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,"Santa Cruz de la Sierra, Santa Cruz",,,,,
266,,,,,,,,,,,,,,
267,,1,,,,,,,,,,,,
268,,,,,,,,,,,,,,
269,,,1,1,,,,,"Caracollo, Oruro",,,,,
270,,,,,,,,,,,,,,
271,,1,,,,,,,,,,,,
272,,,,,,,,,,,,,,
273,,,1,1,,,,,"Patacamaya, La Paz",,,,,Aspirantes de las Escuelas de Maestros
274,,,,,,,,,,,,,,
275,,,1,,,,1,,"Aiquile, Cochabamba",,,,,
276,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,
279,,1,,,,,,,,,,,,
280,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,
283,,,1,1,,,,,"Villa Remedios, La Paz",,,,,Aspirantes de las Escuelas de Maestros
284,,,,,,,,,,,,,,
285,,1,,,,,,,,,,,,
286,,,,,,,,,,,,,,
287,,,1,,,,1,,"Aiquile, Cochabamba",,,,,
288,,,,,,,,,,,,,,
289,,,1,1,,,,,,,,,,La Confederacion Sindical Unica de Trabajadores Campesinos de Bolivia (CSUTCB)
290,,,,,,,,,,,,,,
291,,,1,1,,,,,"Nuestra Se_ora de La Paz, La Paz",,,,,Aspirantes de las Escuelas de Maestros
292,,,,,,,,,,,,,,
293,,,1,,,,,1,"Cochabamba, Cochabamba",,,,,
294,,,,,,,,,,,,,,
295,,1,,,,,,,,,,,,
296,,,,,,,,,,,,,,
297,,,1,,,,1,,"Aiquile, Cochabamba",,,,,
298,,,,,,,,,,,,,,
299,,1,,,,,,,,,,,,
300,,,,,,,,,,,,,,
301,,,,,,,,,Departamento de Cochabamba,,,,,
302,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,
305,,1,,,,,,,,,,,,
306,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,
309,,,1,,,,,1,,,,,,Aspirantes de las Escuelas de Maestros
310,,,,,,,,,,,,,,
311,,1,,,,,,,,,,,,
312,,,,,,,,,,,,,,
313,,,1,1,,,,,"El Alto, La Paz",,,,,
