Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,1,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,1,,,,1,,Estado Aragua,100,,,,Unión Regional de Trabajadores de Aragua (URIA)
12,,,,,,,,,,,,,,
13,,,1,,1,,,,Estado Monagas,75,,,,
14,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,1,1,,,,,"Santiago de León de Caracas, Distrito Capital",3000~,,,,Confederación Nacional de Agricultores y Ganaderos de Venezuela (CONFAGAN)
18,,,,,,,,,,,,,,
19,,1,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,1,1,,,,,Estado Aragua,,,,,
22,,,,,,,,,,,,,,
23,,1,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,1,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,1,1,,,,,"Santiago de León de Caracas, Distrito Capital",,,,,Empleados del Instituto Nacional del Menor
31,,,,,,,,,,,,,,
32,,1,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,1,,,,1,,Estado Zulia,100~,,,,
35,,,,,,,,,,,,,,
36,,1,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,1,,,1,,,,,,,,Empleados del Instituto Nacional del Menor
39,,,,,,,,,,,,,,
40,,1,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,1,,,,1,,"Santiago de León de Caracas, Distrito Capital",1200~,,,,Empleados de Cotécnica
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,1,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,1,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,1,1,,,,,"Santiago de León de Caracas, Distrito Capital",1000+,,,,Simpatizantes del Gobierno
58,,,,,,,,,,,,,,
59,,1,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,1,1,,,,,"Tocuyito, Carabobo",100~,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,1,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,1,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,1,,1,,,,Estado Zulia,,,,,Comando Intersindical Magisterial del Zulia
74,,,,,,,,,,,,,,
75,,1,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,1,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,1,,1,,,,"Valencia, Carabobo",,,,,
85,,,,,,,,,,,,,,
86,,1,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,1,1,,,,,"Santiago de León de Caracas, Distrito Capital",,,,,Coordinadora Democrática (CD)
89,,,,,,,,,,,,,,
90,,1,,,,,,,,,,,,
91,,,,,,,,,,,,,,
